A,B,Size,Source,Note,
Aidan Tracey,ABInBev,2,https://www.tracxtion.com/leadership,,
Adam Waterous,Build Canada,2,https://www.buildcanada.com/en/memos,,
Adam Waterous,Conservative Party of Canada,2,https://www.desmog.com/2025/04/22/industry-group-with-conservative-ties-is-calling-for-pipeline-emergency-build-canada-adam-waterous/,,
Aidan Tracey,Mosaic,2,https://www.tracxtion.com/leadership,,
Adam Waterous,Pierre Poilievre,2,https://www.desmog.com/2025/04/22/industry-group-with-conservative-ties-is-calling-for-pipeline-emergency-build-canada-adam-waterous/,,
Aidan Tracey,Procter & Gamble,2,https://www.tracxtion.com/leadership,,
Aidan Tracey,sgs&co,2,https://www.tracxtion.com/leadership,,
Adam Waterous,Strathcona Resources,2,https://www.theglobeandmail.com/business/commentary/article-adam-waterous-meg-athabasca-oil-sands-shakeup/,,
Adam Waterous,Waterous Energy Fund,2,https://www.theglobeandmail.com/business/commentary/article-adam-waterous-meg-athabasca-oil-sands-shakeup/,,
Aidan Tracey,Build Canada,2,https://www.buildcanada.com/memos,,
Aidan Tracey,Tracxtion,2,https://www.tracxtion.com/leadership,,
Amanda Rose,Build Canada,2,https://www.buildcanada.com/en/about,,
Ana Curic,Build Canada,5,https://www.buildcanada.com/en/about,,
Ana Curic,Maple Leaf Strategies,2,https://www.desmog.com/2025/04/22/industry-group-with-conservative-ties-is-calling-for-pipeline-emergency-build-canada-adam-waterous/,,
Andrew Graham,Borrowell,2,https://www.buildcanada.com/en/about,,
Andrew Graham,Build Canada,2,https://www.buildcanada.com/en/memos,,
Andrew Potter,Build Canada,2,https://www.buildcanada.com/en/about,,
Andrew Potter,McGill Institute for the Study of Canada,2,https://en.wikipedia.org/wiki/Andrew_Potter,,
Andrew Potter,Ottawa Citizen,2,https://en.wikipedia.org/wiki/Andrew_Potter,,
Barry Zekelman,Build Canada,2,https://www.buildcanada.com/en/memos,,
Barry Zekelman,Zekelman Industries,2,https://www.buildcanada.com/en/about,,
Ben Parry,Build Canada,5,https://www.buildcanada.com/en/about,,
Ben Parry,Restaurant Brands International,2,https://www.linkedin.com/in/parrybenjamin/?originalSubdomain=ca,,
Benjamin Alarie,Blue J,2,https://www.buildcanada.com/en/about,,
Benjamin Alarie,Build Canada,2,https://www.buildcanada.com/en/memos,,
Benjamin Alarie,Schwartz Reisman Institute for Technology and Society,2,https://jackmanlaw.utoronto.ca/people/benjamin-alarie,,
Benjamin Alarie,Vector Institute,2,https://jackmanlaw.utoronto.ca/people/benjamin-alarie,,
Boris Wertz,Version One Ventures,2,https://techcouver.com/2025/09/25/build-canada-taps-hunter-scharfe-to-lead-vancouver/,,
Boris Wertz,Build Canada,2,https://techcouver.com/2025/09/25/build-canada-taps-hunter-scharfe-to-lead-vancouver/,,
Brad Carr,Build Canada,2,https://www.buildcanada.com/en/memos,,
Brad Carr,Mattamy Homes,2,https://www.buildcanada.com/en/about,,
Brendan Samek,Build Canada,2,https://www.buildcanada.com/en/about,,
Build Canada,Canada Spends,2,https://www.buildcanada.com/en/projects,,
Cenovus Energy,MEG Energy Corporation,2,https://www.theglobeandmail.com/business/commentary/article-adam-waterous-meg-athabasca-oil-sands-shakeup/,,
Daniel Debow,Borrowell,2,https://opmwire.com/daniel-debow-shopify-build-canada/,,
Daniel Debow,Build Canada,5,https://www.buildcanada.com/en/about,,
Daniel Debow,Loblaw Companies,2,https://opmwire.com/daniel-debow-shopify-build-canada/,,
Daniel Debow,Shopify,2,https://www.buildcanada.com/en/about,,
Daniel Eberhard,Build Canada,2,https://www.buildcanada.com/en/memos,,
Daniel Eberhard,Koho,2,https://www.buildcanada.com/en/about,,
Drew Stevens,Build Canada,2,https://www.buildcanada.com/en/about,,
Eliot Pence,Anduril Industries,2,https://www.tofinocap.com/who,,
Eliot Pence,Build Canada,2,https://www.buildcanada.com/en/memos,,
Eliot Pence,Council on Foreign Relations,2,https://www.tofinocap.com/who,,
Eliot Pence,McLarty Associates,2,https://www.tofinocap.com/who,,
Eliot Pence,Tofino Capital,2,https://www.buildcanada.com/en/about,,
Eric Lombardi,Build Canada,2,https://buildcanada.substack.com/p/hammer-to-fall,,
Eric Lombardi,Electric Mind,2,https://www.linkedin.com/in/ericlombardi/?originalSubdomain=ca,,
Eric Lombardi,More Neighbours,2,https://www.linkedin.com/in/ericlombardi/?originalSubdomain=ca,,
Fiona McKean,Build Canada,2,https://www.buildcanada.com/en/about,,
Fiona McKean,Elevate,2,https://elevate.ca/speakers/fiona-mckean/,,
Fiona McKean,Opinicon,2,https://canadianfamilyoffices.com/wealth/ten-of-canadas-wealthiest-people-and-how-they-made-their-fortunes/,,
Fiona McKean,Thistledown,2,https://canadianfamilyoffices.com/wealth/ten-of-canadas-wealthiest-people-and-how-they-made-their-fortunes/,,
Fiona McKean,Tobias Lutke,2,https://canadianfamilyoffices.com/wealth/ten-of-canadas-wealthiest-people-and-how-they-made-their-fortunes/,,
George Babu,Aire Labs,2,https://www.airelabs.com/team,,
George Babu,Build Canada,2,https://www.buildcanada.com/en/memos,,
Harley Finkelstein,Felicis Ventures,2,https://obj.ca/shopifys-harley-finkelstein-joins-cbc-board-of-directors/,,
Harley Finkelstein,C100,2,https://obj.ca/shopifys-harley-finkelstein-joins-cbc-board-of-directors/,,
Harley Finkelstein,Build Canada,2,https://www.buildcanada.com/en/memos,,
Harley Finkelstein,CBC,2,https://obj.ca/shopifys-harley-finkelstein-joins-cbc-board-of-directors/,,
Harley Finkelstein,Shopify,2,https://en.wikipedia.org/wiki/Harley_Finkelstein,,
Hunter Scharfe,Build Canada,2,https://www.buildcanada.com/en/about,,
Ivan Zhang,Build Canada,2,https://www.buildcanada.com/en/memos,,
Ivan Zhang,FOR.ai,2,https://www.inovia.vc/founders/company-founders/ivan-zhang/,,
Ivan Zhang,Cohere,2,https://www.buildcanada.com/en/memos,,
Jamie McDonald,Expedia,2,https://theorg.com/org/a2x/org-chart/jamie-mcdonald,,
Jamie McDonald,Microsoft,2,https://theorg.com/org/a2x/org-chart/jamie-mcdonald,,
Jamie McDonald,A2X,2,https://www.buildcanada.com/en/memos,,
Jamie McDonald,Xero,2,https://theorg.com/org/a2x/org-chart/jamie-mcdonald,,
Jamie McDonald,Build Canada,2,https://www.buildcanada.com/en/memos,,
Janet Waterous,Adam Waterous,2,https://www.desmog.com/2025/04/22/industry-group-with-conservative-ties-is-calling-for-pipeline-emergency-build-canada-adam-waterous/,,
Janet Waterous,Conservative Party of Canada,2,https://www.desmog.com/2025/04/22/industry-group-with-conservative-ties-is-calling-for-pipeline-emergency-build-canada-adam-waterous/,,
Janet Waterous,Pierre Poilievre,2,https://www.desmog.com/2025/04/22/industry-group-with-conservative-ties-is-calling-for-pipeline-emergency-build-canada-adam-waterous/,,
Jeff Adamson,Build Canada,2,https://www.buildcanada.com/en/memos,,
Jeff Adamson,SkipTheDishes,2,https://theorg.com/org/neo-financial/org-chart/jeff-adamson,,
Jeff Adamson,NEO Financial,2,https://www.buildcanada.com/en/memos,,
Jennifer Mazzarolo,Maverick Consulting,2,https://www.maverickconsulting.ca/who-is-maverick,,
Jennifer Mazzarolo,Build Canada,2,https://www.buildcanada.com/en/about,,
Jesse Lee,Build Canada,2,https://www.buildcanada.com/en/about,,
Julie Di Lorenzo,Build Canada,2,https://www.buildcanada.com/en/memos,,
Julie Di Lorenzo,Mirabella Development,2,https://www.buildcanada.com/en/memos,,
Lucy Hargreaves,Mona Fortier,2,https://www.hilltimes.com/story/2021/06/17/hargreaves-exits-as-chief-of-staff-to-associate-finance-minister-fortier/280501/,,
Lucy Hargreaves,Build Canada,5,https://www.buildcanada.com/en/memos,,
Lucy Hargreaves,Patch,2,https://thetyee.ca/News/2025/04/16/Build-Canada-Not-DOGE-Spokesperson/,,
Lucy Hargreaves,Canada Spends,2,https://thetyee.ca/News/2025/04/16/Build-Canada-Not-DOGE-Spokesperson/,,
Mamy Rakotomalala,Build Canada,2,https://www.buildcanada.com/en/about,,
Marc Fielding,Build Canada,2,https://www.buildcanada.com/en/about,,
Marco Martinez,Build Canada,2,https://www.buildcanada.com/en/about,,
Martin Basiri,Build Canada,2,https://www.buildcanada.com/en/memos,,
Martin Basiri,ApplyBoard,2,https://betakit.com/applyboard-co-founder-launches-passage-to-address-canadas-skilled-worker-shortage-with-40-million-seed-round/,,
Martin Basiri,Passage,2,https://betakit.com/applyboard-co-founder-launches-passage-to-address-canadas-skilled-worker-shortage-with-40-million-seed-round/,,
Matt Cohen,Build Canada,2,https://www.buildcanada.com/en/memos,,
Matt Cohen,Ripple Ventures,2,https://www.buildcanada.com/en/memos,,
Mazyar Mortazavi,Build Canada,2,https://www.buildcanada.com/en/memos,,
Mazyar Mortazavi,TAS,2,https://www.buildcanada.com/en/memos,,
Melody Kuo,Build Canada,5,https://www.buildcanada.com/en/about,,
Michael Litt,Build Canada,2,https://www.buildcanada.com/en/memos,,
Michael Litt,Vidyard,2,https://www.buildcanada.com/en/memos,,
Michael Serbinis,Zip2,2,https://en.wikipedia.org/wiki/Michael_Serbinis,,
Michael Serbinis,Kobo,2,https://en.wikipedia.org/wiki/Michael_Serbinis,,
Michael Serbinis,Microsoft,2,https://en.wikipedia.org/wiki/Michael_Serbinis,,
Michael Serbinis,Build Canada,2,https://www.buildcanada.com/en/memos,,
Michael Serbinis,League,2,https://www.buildcanada.com/en/memos,,
Mikaal Naik,Build Canada,2,https://www.buildcanada.com/en/about,,
Mike Murchison,Ada,2,https://www.buildcanada.com/en/memos,,
Mike Murchison,Build Canada,2,https://www.buildcanada.com/en/memos,,
Mina Mitry,Build Canada,2,https://www.buildcanada.com/en/memos,,
Mina Mitry,Kepler,2,https://www.buildcanada.com/en/memos,,
Nelson Lee,Build Canada,2,https://www.buildcanada.com/en/memos,,
Peter Carrescia,Build Canada,2,https://www.buildcanada.com/en/memos,,
Peter Carrescia,GoConfirm,2,https://www.buildcanada.com/en/memos,,
Richard Abboud,Build Canada,2,https://www.buildcanada.com/en/memos,,
Richard Abboud,Forum Asset Management,2,https://www.buildcanada.com/en/memos,,
Ruchish Shah,Build Canada,2,https://www.buildcanada.com/en/about,,
Ryan Manucha,Build Canada,2,https://www.buildcanada.com/en/about,,
Shane Parrish,Build Canada,2,https://www.buildcanada.com/en/memos,,
Shane Parrish,Farnam Street,2,https://www.buildcanada.com/en/memos,,
Shaun Francis,Build Canada,2,https://www.buildcanada.com/en/memos,,
Shaun Francis,Fraser Institute,2,https://www.fraserinstitute.org/profile/shaun-c-francis,,
Shaun Francis,Medcan,2,https://www.buildcanada.com/en/memos,,
Som Seif,Build Canada,2,https://www.buildcanada.com/en/memos,,
Som Seif,Purpose Unlimited,2,https://www.buildcanada.com/en/memos,,
Stewart Lyons,Bird,2,https://www.buildcanada.com/en/memos,,
Stewart Lyons,Build Canada,2,https://www.buildcanada.com/en/memos,,
Tobias Lutke,Coinbase,2,https://www.coinbase.com/en-sg/blog/tobias-lutke-ceo-of-shopify-to-join-coinbase-board-of-directors,,
Tobias Lutke,Build Canada,2,https://www.buildcanada.com/en/memos,,
Tobias Lutke,Shopify,2,https://www.buildcanada.com/en/memos,,
Toby Shannan,Build Canada,2,https://www.buildcanada.com/en/memos,,
Toby Shannan,Shopify,2,https://www.buildcanada.com/en/memos,,
Wayne Pommen,Build Canada,2,https://www.buildcanada.com/en/memos,,
Wayne Pommen,Affirm Holdings,2,https://investors.affirm.com/management/wayne-pommen,,
Wayne Pommen,Elevate,2,https://elevate.ca/speakers/wayne-pommen/,,
Wayne Pommen,Paybright,2,https://www.buildcanada.com/en/memos,,
Zander Fraser,Build Canada,2,https://www.buildcanada.com/en/about,,
Zara Safsovski,TD Bank,2,https://www.linkedin.com/in/zarasafsovski/?originalSubdomain=ca,,
Zara Safsovski,Glide AI,2,https://www.linkedin.com/in/zarasafsovski/?originalSubdomain=ca,,
Zara Safsovski,Build Canada,2,https://www.buildcanada.com/en/about,,
Zita Cobb,Build Canada,2,https://www.buildcanada.com/en/memos,,
Zita Cobb,Shorefast,2,https://www.buildcanada.com/en/memos,,
Alan Zekelman,Zekelman Industries,2,https://en.wikipedia.org/wiki/Zekelman_Industries,,
Barry Zekelman,Donald Trump,2,https://www.nytimes.com/2020/01/25/us/politics/trump-ukraine-donors.html,,
Clayton Zekelman,Zekelman Industries,2,https://en.wikipedia.org/wiki/Zekelman_Industries,,
Daniel Debow,Goldman Sachs,2,https://opmwire.com/daniel-debow-shopify-build-canada/,,
Daniel Debow,Rypple,2,https://opmwire.com/daniel-debow-shopify-build-canada/,,
Daniel Debow,Sullivan & Cromwell,2,https://opmwire.com/daniel-debow-shopify-build-canada/,,
Daniel Debow,Workbrain,2,https://opmwire.com/daniel-debow-shopify-build-canada/,,
Donald Trump,America First Action PAC,2,https://www.nytimes.com/2020/01/25/us/politics/trump-ukraine-donors.html,,
Doug Ford,Ontario Proud,2,https://macleans.ca/politics/canadas-social-media-arms-race-and-the-battle-for-hearts-and-likes/,,
Ian Todd,Conservative Party of Canada,2,https://www.desmog.com/2025/04/22/industry-group-with-conservative-ties-is-calling-for-pipeline-emergency-build-canada-adam-waterous/,,
Ian Todd,Maple Leaf Strategies,2,https://www.desmog.com/2025/04/22/industry-group-with-conservative-ties-is-calling-for-pipeline-emergency-build-canada-adam-waterous/,,
Ian Todd,Pierre Poilievre,2,https://www.desmog.com/2025/04/22/industry-group-with-conservative-ties-is-calling-for-pipeline-emergency-build-canada-adam-waterous/,,
Jeff Ballingall,Ontario Proud,2,https://macleans.ca/politics/canadas-social-media-arms-race-and-the-battle-for-hearts-and-likes/,,
Mattamy Homes,Ontario Proud,2,https://macleans.ca/politics/canadas-social-media-arms-race-and-the-battle-for-hearts-and-likes/,,
Matthew Conway,Conservative Party of Canada,2,https://www.desmog.com/2025/04/22/industry-group-with-conservative-ties-is-calling-for-pipeline-emergency-build-canada-adam-waterous/,,
Matthew Conway,Maple Leaf Strategies,2,https://www.desmog.com/2025/04/22/industry-group-with-conservative-ties-is-calling-for-pipeline-emergency-build-canada-adam-waterous/,,
Matthew Conway,Pierre Poilievre,2,https://www.desmog.com/2025/04/22/industry-group-with-conservative-ties-is-calling-for-pipeline-emergency-build-canada-adam-waterous/,,
Samantha Tom,Borrowell,2,https://rocketreach.co/borrowell-management_b5fb8fa8f73779c9,,
Strathcona Resources,Greenfield Resources,2,https://www.theglobeandmail.com/business/commentary/article-adam-waterous-meg-athabasca-oil-sands-shakeup/,,
Strathcona Resources,MEG Energy Corporation,2,https://www.theglobeandmail.com/business/commentary/article-adam-waterous-meg-athabasca-oil-sands-shakeup/,,
Strathcona Resources,Osum Oil Sands Corporation,2,https://www.theglobeandmail.com/business/commentary/article-adam-waterous-meg-athabasca-oil-sands-shakeup/,,
Strathcona Resources,Tourmaline Oil Corporation,2,https://www.theglobeandmail.com/business/commentary/article-adam-waterous-meg-athabasca-oil-sands-shakeup/,,
Waterous Energy Fund,Strathcona Resources,2,https://www.theglobeandmail.com/business/commentary/article-adam-waterous-meg-athabasca-oil-sands-shakeup/,,
Zekelman Industries,America First Action PAC,2,https://www.nytimes.com/2019/05/20/us/politics/hes-one-of-the-biggest-backers-of-trumps-push-to-protect-american-steel-and-hes-canadian.html,,
Daniel Debow,Borrowell,2,https://opmwire.com/daniel-debow-shopify-build-canada/,,
Daniel Debow,Helpful,2,https://opmwire.com/daniel-debow-shopify-build-canada/,,
David Stein,Rypple,2,https://opmwire.com/daniel-debow-shopify-build-canada/,,
Farhan Thawar,Helpful,2,https://opmwire.com/daniel-debow-shopify-build-canada/,,
